SeqName	length	bit-score	eValue	hitName	GOs	ACC
100_cDNA	1059	880.937	0	gi|147841490|emb|CAN77617.1|hypothetical protein VITISV_037152 [Vitis vinifera]	GO:0043531, GO:0006952	CAN77617.1
100_cDNA	1059	879.396	0	gi|590584019|ref|XP_007015058.1|LRR and NB-ARC domains-containing disease resistance protein, putative [Theobroma cacao]	GO:0016020, GO:0016021, GO:0043531, GO:0006952	EOY32677.1
100_cDNA	1059	865.529	0	gi|596017798|ref|XP_007218891.1|hypothetical protein PRUPE_ppa000343mg [Prunus persica]	GO:0043531, GO:0006952	EMJ20090.1
100_cDNA	1059	840.106	0	gi|590656738|ref|XP_007034356.1|NBS type disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY05282.1
100_cDNA	1059	835.869	0	gi|596017802|ref|XP_007218892.1|hypothetical protein PRUPE_ppa000391mg [Prunus persica]	GO:0043531, GO:0006952	EMJ20091.1
100_cDNA	1059	834.713	0	gi|596056806|ref|XP_007220964.1|hypothetical protein PRUPE_ppa026310mg, partial [Prunus persica]	GO:0043531	EMJ22163.1
101_(2)_N	905	570.466	0	gi|590639375|ref|XP_007029652.1|LRR and NB-ARC domains-containing disease resistance protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY10154.1
101_(2)_N	905	564.688	0	gi|590639360|ref|XP_007029648.1|Leucine-rich repeat containing protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY10150.1
101_(2)_N	905	560.451	0	gi|590639372|ref|XP_007029651.1|Leucine-rich repeat containing protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY10153.1
101_CNL	883	536.954	1.00E-174	gi|590639372|ref|XP_007029651.1|Leucine-rich repeat containing protein, putative [Theobroma cacao]	GO:0043531, GO:0006952	EOY10153.1
1038_CNL	1182	439.113	2.02E-130	gi|590727448|ref|XP_007099577.1|NB-ARC domain-containing disease resistance protein, putative [Theobroma cacao]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	EOY20452.1
1038_CNL	1182	420.239	1.04E-122	gi|566169415|ref|XP_006382679.1|putative disease resistance gene NBS-LRR family protein [Populus trichocarpa]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	ERP60476.1
1038_CNL	1182	412.535	5.00E-120	gi|566169427|ref|XP_006382685.1|putative disease resistance gene NBS-LRR family protein [Populus trichocarpa]	GO:0000166, GO:0043531, GO:0005524, GO:0006952	ERP60482.1
1094_(2)_XNL	931	766.533	0	gi|596047277|ref|XP_007220267.1|hypothetical protein PRUPE_ppa001015mg [Prunus persica]	GO:0043531, GO:0006952	EMJ21466.1
1094_(3)_XNL	933	814.298	0	gi|359480122|ref|XP_002265617.2|PREDICTED: disease resistance protein RPM1 [Vitis vinifera]	GO:0043531, GO:0006952	CAN60254.1
1106_CNL	1045	457.603	2.98E-150	gi|379067852|gb|AFC90279.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron kanehirae]	GO:0043531	AFC90279.1
1106_CNL	1045	447.973	1.19E-146	gi|379067758|gb|AFC90232.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron formosanum]	GO:0043531	AFC90232.1
1106_CNL	1045	439.884	6.75E-144	gi|379067936|gb|AFC90321.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron rubropunctatum]	GO:0043531	AFC90321.1
1106_CNL	1045	439.499	1.10E-143	gi|379067934|gb|AFC90320.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron rubropunctatum]	GO:0043531	AFC90320.1
1106_CNL	1045	437.958	8.61E-143	gi|379067844|gb|AFC90275.1|nucleotide-binding site leucine-rich repeat protein, partial [Rhododendron kanehirae]	GO:0043531	AFC90275.1
122_XNL	622	274.633	3.56E-76	gi|147775060|emb|CAN77204.1|hypothetical protein VITISV_014782 [Vitis vinifera]	GO:0043531, GO:0006952	CAN77204.1
122_XNL	622	273.863	4.62E-76	gi|147806087|emb|CAN63338.1|hypothetical protein VITISV_033712 [Vitis vinifera]	GO:0043531, GO:0006952	CAN63338.1
